params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,total_running_time
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 100}",0.9516393876794321,0.012601090400678657,643,2.9922947883605957,0.06094328329520948,0.10612707138061524,0.019209909593135968,3.0984218597412108
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 300}",0.9613146882779808,0.0101039745481808,539,4.433217763900757,0.10020033959738874,0.16203322410583496,0.02237911758836425,4.595250988006592
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 500}",0.9603909105355155,0.009690301273468531,562,5.996358108520508,0.11161259872810055,0.23632144927978516,0.02937451381476424,6.232679557800293
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 100}",0.954860956618465,0.01197565841707197,628,3.0579095840454102,0.11311445586682614,0.09815893173217774,0.015985462024043936,3.156068515777588
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 300}",0.959931140420573,0.007339840603664529,568,4.46855673789978,0.05134199813925989,0.1592026710510254,0.016406453062404965,4.627759408950805
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 500}",0.9599311404205733,0.008543184654456581,566,5.902852535247803,0.10559349602326547,0.19997258186340333,0.013542734726747663,6.102825117111206
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 100}",0.9557836749827852,0.008895252405321312,621,3.0226519107818604,0.04083834552338543,0.10033564567565918,0.02303669627385889,3.1229875564575194
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 300}",0.9585528894538905,0.010151150992904213,581,4.407559871673584,0.0775891367601158,0.15989866256713867,0.024790503476861698,4.567458534240723
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 500}",0.9585518300757455,0.00962229442696024,582,5.885489511489868,0.08094978249650803,0.23639945983886718,0.04315358711870792,6.121888971328735
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 100}",0.9539435351448698,0.013412748162946292,635,2.9776569843292235,0.06266454922113619,0.09573397636413575,0.025808122931238832,3.0733909606933594
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 300}",0.9562476826103078,0.011897658475655961,611,4.29228572845459,0.07255901319175072,0.1564413547515869,0.02952170783719007,4.448727083206177
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 500}",0.958091000582658,0.008372717275392672,589,5.643441295623779,0.09211388356656354,0.21634912490844727,0.034533933836138196,5.859790420532226
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 100}",0.9488754700990519,0.009902399382873179,647,3.0003693103790283,0.07449128801715033,0.10637016296386718,0.021033433012541267,3.1067394733428957
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 300}",0.9585486519413104,0.008087357287428109,585,4.297812509536743,0.036593207311456204,0.16121277809143067,0.014841638366136662,4.459025287628173
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 500}",0.958089941204513,0.010209346180235375,590,5.646439504623413,0.13418789854934907,0.2129605770111084,0.03218447262459077,5.859400081634521
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 100}",0.9516425658138672,0.012412584406063699,642,2.9815478324890137,0.10741122819669754,0.09671859741210938,0.015640490981884744,3.078266429901123
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 300}",0.9557868531172202,0.009224419237328868,616,4.301995754241943,0.03132828978957127,0.1559293270111084,0.017998783620912003,4.457925081253052
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 500}",0.9580920599608029,0.011652265060601016,588,5.644496440887451,0.09190107848176095,0.21451907157897948,0.030716110188601552,5.8590155124664305
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 100}",0.9520991577943747,0.009242436784513539,641,2.9272531509399413,0.09551139065012962,0.10262889862060547,0.02060418199058101,3.029882049560547
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 300}",0.9539435351448701,0.00963496997327397,634,4.20311975479126,0.06166499953451868,0.15657224655151367,0.028664737709453908,4.359692001342774
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 500}",0.9557836749827852,0.0073240601274466854,621,5.481069612503052,0.076511578550443,0.21310949325561523,0.02494172943148765,5.694179105758667
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 100}",0.9525631654218973,0.01176734220776974,637,2.91754035949707,0.08228291527547898,0.11678872108459473,0.040797992708398616,3.034329080581665
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 300}",0.9562498013665979,0.011241310838864729,610,4.196042585372925,0.10142922877048127,0.1513819217681885,0.019539242237870173,4.347424507141113
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 500}",0.9576259335769903,0.0073553086169031,597,5.543081569671631,0.08234066621244748,0.19856600761413573,0.016912290949756846,5.741647577285766
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 100}",0.9428857460670585,0.009247068188405753,648,2.895107555389404,0.07701579416936444,0.09572186470031738,0.019988562174445453,2.9908294200897214
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 300}",0.9553249642459877,0.009024192827067914,625,4.178732395172119,0.027656726936925072,0.17027888298034669,0.04502436887656239,4.3490112781524655
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 10, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 500}",0.9539456539011599,0.009837070009171073,633,5.4480866432189945,0.07166366393570876,0.20202989578247071,0.024584734172262666,5.650116539001465
