params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_selection__percentile,param_knn_classifier__n_neighbors,total_running_time
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",0.8506166666666667,0.0007833333333333581,1,2.058761715888977,0.1620267629623413,53.964688777923584,7.608175039291382,75,5,56.02345049381256
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",0.8503166666666666,0.0009833333333332805,2,2.8430674076080322,0.23893046379089355,53.066548109054565,2.5944132804870605,70,5,55.9096155166626
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 80, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",0.8503000000000001,0.0011000000000000454,3,2.663572072982788,0.026553630828857422,58.91674280166626,0.2891111373901367,80,5,61.58031487464905
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'distance'}",0.8502166666666666,1.666666666666483e-05,4,2.4065903425216675,0.687048077583313,52.62859344482422,6.261057376861572,75,7,55.035183787345886
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",0.84965,1.666666666666483e-05,5,2.1836557388305664,0.00961923599243164,58.487916111946106,0.09853661060333252,75,5,60.67157185077667
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'uniform'}",0.8496166666666667,0.0008833333333333471,6,2.799753427505493,0.36297106742858887,54.34807574748993,4.597565293312073,70,5,57.14782917499542
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'distance'}",0.8495166666666667,0.00035000000000001696,7,3.007211208343506,0.3631622791290283,61.965084075927734,0.09496283531188965,70,7,64.97229528427124
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 80, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'distance'}",0.8495166666666667,8.333333333332416e-05,7,3.4189140796661377,0.03823137283325195,73.86805963516235,0.027747631072998047,80,7,77.28697371482849
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",0.8494833333333334,0.00018333333333331314,9,2.162366509437561,0.03332960605621338,54.65468502044678,0.24487972259521484,70,5,56.81705152988434
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'uniform'}",0.8494333333333333,0.0006666666666666488,10,3.1673773527145386,0.5560721158981323,62.35168266296387,2.9590342044830322,75,5,65.5190600156784
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 3, 'knn_classifier__weights': 'distance'}",0.8491166666666667,0.0004833333333333356,11,2.1416494846343994,0.13974666595458984,56.63526248931885,4.452876567840576,75,3,58.77691197395325
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 9, 'knn_classifier__weights': 'distance'}",0.8490666666666666,0.00019999999999997797,12,3.6889631748199463,0.5329506397247314,64.31750202178955,0.513176679611206,75,9,68.0064651966095
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 80, 'knn_classifier__n_neighbors': 3, 'knn_classifier__weights': 'distance'}",0.84905,8.333333333332416e-05,13,2.6607571840286255,0.5505329370498657,57.280959725379944,6.9064799547195435,80,3,59.94171690940857
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'uniform'}",0.8490333333333333,0.00040000000000001146,14,2.8382245302200317,0.2952190637588501,63.42359185218811,2.8877153396606445,75,7,66.26181638240814
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 9, 'knn_classifier__weights': 'distance'}",0.8489666666666666,0.0003666666666666818,15,2.5410395860671997,0.03399503231048584,47.71893668174744,3.583238363265991,70,9,50.259976267814636
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 80, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'uniform'}",0.8487333333333333,0.0010333333333333306,16,2.4879910945892334,0.1317281723022461,62.340542793273926,0.5886151790618896,80,5,64.82853388786316
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 3, 'knn_classifier__weights': 'distance'}",0.8484833333333333,0.0004833333333333356,17,3.207551956176758,0.0811913013458252,53.85165095329285,1.4797565937042236,70,3,57.059202909469604
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'uniform'}",0.8483833333333334,1.666666666666483e-05,18,2.1300731897354126,0.03699982166290283,58.74757170677185,0.3644673824310303,75,5,60.87764489650726
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'uniform'}",0.8483166666666666,0.0005166666666666653,19,2.8291465044021606,0.2586139440536499,51.34169101715088,2.0503029823303223,70,7,54.17083752155304
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 80, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'uniform'}",0.8482000000000001,0.0001000000000000445,20,2.6574877500534058,0.03703463077545166,64.2190111875534,15.618646502494812,80,7,66.87649893760681
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 9, 'knn_classifier__weights': 'uniform'}",0.8481666666666667,0.0006333333333333191,21,2.5093477964401245,1.0278109312057495,52.02336668968201,11.435405015945435,70,9,54.53271448612213
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'distance'}",0.8481166666666666,0.0004166666666666763,22,2.078305959701538,0.008515357971191406,54.747013568878174,0.02178215980529785,70,7,56.82531952857971
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'uniform'}",0.84805,0.0004166666666666763,23,2.08437979221344,0.032375454902648926,55.05578088760376,0.10956192016601562,70,5,57.1401606798172
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 60, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'distance'}",0.8479833333333333,0.0012499999999999734,24,3.4894849061965942,0.6448787450790405,44.11405384540558,1.0668200254440308,60,7,47.60353875160217
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 9, 'knn_classifier__weights': 'uniform'}",0.84785,0.0003166666666666318,25,2.584420323371887,0.5622097253799438,56.67552590370178,9.2460298538208,75,9,59.25994622707367
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'distance'}",0.8478333333333333,0.0006666666666667043,26,2.1660298109054565,0.05114901065826416,58.396127223968506,0.14318513870239258,75,7,60.56215703487396
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 90, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",0.8475999999999999,0.0005333333333333301,27,2.668107271194458,0.057206153869628906,69.05858933925629,0.044678330421447754,90,5,71.72669661045074
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 60, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",0.8475666666666667,3.333333333332966e-05,28,3.2686651945114136,0.7412515878677368,42.38519036769867,2.763649821281433,60,5,45.65385556221008
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 9, 'knn_classifier__weights': 'distance'}",0.84755,0.0003166666666666873,29,2.15955650806427,0.005128026008605957,54.75716245174408,0.14765560626983643,70,9,56.91671895980835
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 80, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",0.84755,0.0002166666666666428,29,2.245225429534912,0.02610015869140625,61.920214891433716,0.001049041748046875,80,5,64.16544032096863
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 80, 'knn_classifier__n_neighbors': 9, 'knn_classifier__weights': 'distance'}",0.8474999999999999,0.00033333333333335213,31,1.891342282295227,0.1230689287185669,69.5273677110672,0.10564720630645752,80,9,71.41870999336243
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 9, 'knn_classifier__weights': 'distance'}",0.8473666666666667,6.666666666665932e-05,32,2.163183569908142,0.005020499229431152,58.40376114845276,0.12446236610412598,75,9,60.5669447183609
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 3, 'knn_classifier__weights': 'uniform'}",0.8471666666666666,0.0010999999999999899,33,2.514113664627075,0.653221607208252,63.40759587287903,3.08652663230896,75,3,65.9217095375061
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 90, 'knn_classifier__n_neighbors': 3, 'knn_classifier__weights': 'distance'}",0.8471500000000001,0.00045000000000000595,34,2.686304211616516,0.013442397117614746,69.43516981601715,0.07985913753509521,90,3,72.12147402763367
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 60, 'knn_classifier__n_neighbors': 9, 'knn_classifier__weights': 'distance'}",0.8471,6.666666666665932e-05,35,2.5238763093948364,0.022723793983459473,41.235755920410156,0.504967451095581,60,9,43.75963222980499
